Product Name ,Product Price,Review
"boAt Airdopes 200 Plus with 100 HRS Playback, Quad Mics...","1,199",3.8
"boAt Nirvana Ion 32dB Active Noise Cancellation, 120HRS...","2,499",4.1
SAMSUNG Galaxy Buds FE SM-R400NZWAINS/SM-R400NZWAINU Bl...,"6,299",4.1
HOPPUP Predator Xo3 Gaming Earbuds with 35MS Low Latenc...,799,3.9
"truke Buds F1 Ultra with 60 Hours Playtime, Spatial Aud...",799,4
"Mivi DuoPods D3 TWS,13mm Driver,Rich Bass,50H Playtime,...","1,199",3.8
"boAt Nirvana Ivy w/ 360 Spatial Audio, Dynamic Head Tra...","3,299",4.3
"Mivi DuoPods D4 TWS,Rich Bass,50H Playtime,AI ENC,Low L...",699,3.9
"Boult Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms ...",799,3.9
boAt Airdopes 161 ANC w/ Active Noise Cancellation(32dB...,"1,699",3.8
"Mivi DuoPods i3 TWS,13mm Bass,45+H Playtime,AI ENC,Low ...",799,4
"PTron Bassbuds Joy TWS with 13mm Drivers, Stereo Calls,...",799,3.6
"Noise Buds Combat with 45 Hours Playtime, Ultra-low Lat...","1,299",3.8
"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",799,4
"HOPPUP Xo6 Gaming Earbuds with 35MS Low Latency, RGB LE...",799,3.9
"boAt Airdopes 181 with ENx Tech, BEAST Mode, ASAP Charg...","1,099",3.9
"truke Buds Vibe with 35dB ANC, 4Mic ENC, 13mm Speaker, ...",999,4
"HOPPUP AirDoze S40 Earbuds with 13MM Drivers, 40H Playt...",599,4
"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",799,4
HOPPUP Predator Xo3 Gaming Earbuds with 35MS Low Latenc...,799,3.9
"boAt Airdopes 800 w/ Dolby Audio, 4 Mics AI-ENx Tech, T...","1,799",4
HOPPUP Predator Xo3 Gaming Earbuds with 35MS Low Latenc...,799,3.9
OPPO Enco Air 2 Pro Bluetooth,"2,799",4.3
"Boult Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms ...",799,3.9
"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...","1,099",4.1
"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmenta...",999,4
"boAt Airdopes 118 WROGN Edition w/ 50 HRS Playback, Qua...","1,299",3.6
HOUSE OF SOUND NEW FALCON EARBUDS Bluetooth Gaming,599,4
"TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm D...",699,4.1
"Noise Buds VS404 with 50 Hours Playtime, ENC with Quad ...","1,099",3.9
"TECHFIRE Bullets Max TWS Earbuds with 100 HRS Playtime,...",699,3.6
"truke Buds Vibe with 35dB ANC, 4Mic ENC, 13mm Speaker, ...",999,4
"CMF by Nothing Buds Pro with 45 dB ANC, Ultra Bass Tech...","2,499",4.1
"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...",999,4.1
"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...",999,4
"Mivi DuoPods i3 TWS,13mm Bass,45+H Playtime,AI ENC,Low ...",799,4
"Noise Aura Buds with Dual Device Pairing, 60 Hours of P...","1,599",4
"boAt Airdopes 181 Pro w/ 100 HRS Playback, 4 Mics ENx T...","1,399",3.9
HOPPUP Predator Xo3 Gaming Earbuds with 35MS Low Latenc...,799,3.9
Tunifi Classic LB A520 Earbuds/TWs/buds 5.1 Earbuds wit...,709,3.7
"Noise Buds VS102 Plus with 70 Hrs Playtime, Environment...","1,099",3.9
"boAt Immortal 100 w/ Beast Mode(40ms Low Latency), 30 H...",999,4
"boAt Airdopes 300 w/ 4-Mics ENx Technology,Multipoint C...","1,599",3.9
"truke Buds F1 Ultra with 60 Hours Playtime, Spatial Aud...",799,4
"truke BTG Ultra with 60H Playtime, 360Spatial, Low Late...",799,4
boAt Airdopes 131 Captain America Edition with 60 Hours...,"1,299",4
OnePlus Buds Z2 Bluetooth Gaming,"3,999",4.2
"Mivi DuoPods D4 TWS,Rich Bass,50H Playtime,AI ENC,Low L...",699,3.9
"Boult Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms ...",799,3.9
"Mivi DuoPods K5 TWS Earbuds Metallic Finish, HD calling...","1,399",3.9
boAt Airdopes 131 Captain America Edition with 60 Hours...,"1,499",4
"TRIGGR Kraken X3 with RGB Lights, 40ms Latency, Quad EN...",899,4
"boAt Airdopes 161 ANC Elite w/ ANC, 50 HRS Playback, AS...","1,599",4
"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",799,4
"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...","1,499",4.1
